                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6795,                 4.0043,                 3.7197,                0.36151,                0.03403,                 0.0102,                0.00269,                 3.2029,                 3.0895,                 3.0141,              0.0033267,              0.0033267,              0.0033267
                      2,                 2.7582,                 2.3828,                  2.268,                0.80374,                0.09007,                0.09374,                0.03935,                 2.2992,                 1.9178,                 1.9498,              0.0065941,              0.0065941,              0.0065941
                      3,                 2.0998,                 1.7422,                 1.7147,                0.24129,                0.16725,                0.16228,                0.08351,                 1.7985,                  1.492,                 1.5342,              0.0097955,              0.0097955,              0.0097955
                      4,                 1.8296,                  1.438,                 1.5021,                0.32301,                 0.2589,                   0.22,                0.11803,                 1.6286,                 1.2442,                 1.3992,               0.009703,               0.009703,               0.009703
                      5,                 1.6648,                 1.2457,                  1.395,                0.35442,                0.28885,                0.25235,                 0.1392,                 1.5582,                 1.0974,                 1.3475,               0.009604,               0.009604,               0.009604
                      6,                 1.5807,                  1.154,                 1.3419,                0.38888,                 0.3011,                0.26898,                0.15503,                 1.4619,                 1.0243,                 1.2934,               0.009505,               0.009505,               0.009505
                      7,                 1.5107,                 1.0813,                 1.2972,                0.39112,                0.30151,                0.28791,                0.17058,                 1.4107,                0.98603,                 1.2537,               0.009406,               0.009406,               0.009406
                      8,                 1.4699,                 1.0312,                 1.2726,                0.38448,                0.33155,                 0.2982,                0.17573,                 1.3832,                0.95778,                 1.2307,               0.009307,               0.009307,               0.009307
                      9,                 1.4366,                0.99599,                 1.2481,                0.39856,                0.33337,                0.31254,                0.18831,                 1.3398,                0.90838,                 1.2113,               0.009208,               0.009208,               0.009208
                     10,                 1.4081,                0.97078,                 1.2311,                0.44935,                0.34401,                0.32382,                 0.1973,                 1.3373,                0.89828,                 1.2024,               0.009109,               0.009109,               0.009109
                     11,                 1.3894,                0.94477,                 1.2178,                0.43428,                0.35875,                0.33413,                0.20308,                 1.3084,                0.87535,                  1.184,                0.00901,                0.00901,                0.00901
                     12,                 1.3644,                  0.924,                 1.2082,                0.47008,                0.34961,                0.33756,                0.20617,                 1.2893,                0.85835,                  1.177,               0.008911,               0.008911,               0.008911
